Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
1, 2, 3,4,5
